"Density","Momentum:0","Momentum:1","Momentum:2","StagnationEnergy","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.2021,2.7958,0.3845,0.16655,6.9664,0.78536,-0.26717,0.14338,-11.623,-0.79526,-0.9295,0.1438,-0.76266,-0.63062,0.52121,0.57845,2.0747
1.1044,2.6511,0.24842,0.15323,6.4541,0.79799,-0.18259,0.066959,-10.651,-0.80609,-0.78718,0.1116,-0.75953,-0.64083,0.5566,0.58254,2.0768
1.0445,2.5395,0.17448,0.14506,6.1172,0.81032,-0.23992,0.065485,-9.438,-0.8157,-0.77146,0.088527,-0.75521,-0.64947,0.58933,0.58522,2.0786
0.99229,2.4444,0.10683,0.13903,5.8239,0.82347,-0.30849,-0.15927,-6.3034,-0.8252,-0.67225,0.066606,-0.75016,-0.65789,0.62276,0.58703,2.0805
0.95499,2.3684,0.037363,0.13635,5.6023,0.90318,-0.65553,-0.27124,-0.26679,-0.87885,-0.67397,0.052886,-0.71412,-0.69802,0.81772,0.5914,2.0917
0.96695,2.3765,0.032721,0.13606,5.6158,1.0055,-0.7405,-0.072312,0.32431,-0.95026,-0.72168,0.052126,-0.66244,-0.7473,1.0601,0.59476,2.1061
0.96642,2.3921,0.035771,0.12486,5.6518,1.1075,-0.4512,-0.049383,1.0394,-1.0073,-0.3971,0.049462,-0.61871,-0.78406,1.3025,0.59826,2.1194
0.93638,2.328,0.024631,0.10339,5.489,1.2155,-0.44678,0.087524,-0.62811,-1.0543,-0.47326,0.042368,-0.58123,-0.81264,1.5609,0.60152,2.1318
0.90824,2.2655,0.017183,0.0824,5.324,1.3335,-0.4638,0.13068,-2.2505,-1.1144,-0.54429,0.034909,-0.53142,-0.84639,1.8357,0.604,2.1429
0.89032,2.2259,0.013524,0.066821,5.2199,1.413,-0.44597,0.21989,-3.0558,-1.1573,-0.53611,0.029278,-0.49465,-0.8686,2.0157,0.60521,2.149
0.85221,2.1409,0.011725,0.022896,5.0078,1.5663,-0.21001,0.27481,-3.0513,-1.2169,-0.24112,0.011964,-0.44212,-0.89688,2.3571,0.6072,2.156
0.81918,2.066,0.0096699,-0.006995,4.8195,1.697,-0.083536,0.28135,-3.1784,-1.2373,-0.071457,-0.0010636,-0.42377,-0.90577,2.637,0.60862,2.1569
0.76984,1.9525,0.0068236,-0.044904,4.534,1.8913,0.034094,0.33366,-3.4952,-1.233,0.11561,-0.019172,-0.42772,-0.90371,3.0384,0.61026,2.1517
0.7269,1.8507,0.0070824,-0.085312,4.2889,2.0969,0.066446,0.32912,-4.1468,-1.1945,0.25859,-0.038933,-0.46223,-0.8859,3.4395,0.61166,2.1379
0.67804,1.7352,0.0091881,-0.13752,4.0131,2.3601,0.070825,0.29699,-5.0821,-1.0982,0.47368,-0.063788,-0.54554,-0.83566,3.9262,0.61384,2.1077
0.67207,1.7175,0.010276,-0.14159,3.9759,2.4333,0.058987,0.14054,-5.0778,-1.0634,0.47681,-0.0636,-0.57435,-0.81614,4.0532,0.61455,2.0972
0.67435,1.689,0.017106,-0.11407,3.9561,2.7861,-0.049815,-0.16214,-4.2393,-0.93794,0.23431,-0.0433,-0.67215,-0.73915,4.6595,0.61945,2.0512
0.68228,1.679,0.020881,-0.080433,3.9751,3.1364,-0.1969,-0.2563,-3.974,-0.89861,-0.0097018,-0.025971,-0.70058,-0.7131,5.2514,0.62635,2.0169
0.69447,1.6833,0.018613,-0.037515,4.026,3.5889,-0.22081,-0.23094,-3.2505,-0.93494,-0.15088,-0.0090455,-0.67399,-0.73869,6.0116,0.63535,1.9904
0.69942,1.6779,0.015288,-0.0048481,4.0421,4.0406,-0.22769,-0.17431,-2.7919,-1.019,-0.2212,0.0033953,-0.60945,-0.79282,6.7722,0.64297,1.982
0.70645,1.7036,0.012913,0.01056,4.0959,4.6273,-0.20435,-0.15453,-3.1995,-1.15,-0.22535,0.0091795,-0.50062,-0.86562,7.7566,0.65117,1.9836
0.70826,1.7102,0.010742,0.022291,4.1129,5.2052,-0.19562,-0.1109,-2.4376,-1.281,-0.22806,0.014473,-0.38322,-0.92354,8.741,0.65796,1.9939
0.68499,1.6364,0.0080292,0.021948,3.9633,5.9544,-0.14518,-0.057433,-2.4503,-1.4332,-0.1783,0.01419,-0.23873,-0.97098,10.022,0.66514,2.0107
0.66719,1.5785,0.0058487,0.022711,3.8479,6.7374,-0.1058,-0.011637,-2.4614,-1.5583,-0.14125,0.014722,-0.11569,-0.99318,11.304,0.6705,2.0286
0.67097,1.5939,0.0062502,0.022208,3.875,7.7968,-0.10554,-0.012644,-2.4581,-1.7072,-0.13982,0.013787,0.032923,-0.99936,12.976,0.67687,2.0523
1.013,2.9762,-0.00011078,0.0082011,6.2055,0,0.0021208,-0.036026,-0.016627,0,0.0020763,-0.00021803,-0.99894,0.046009,-1.8613,0.23746,1.9882
1.0095,2.9774,-0.00027525,0.010536,6.1952,0.10322,-0.0011904,-0.048272,0.033672,5.2105e-05,-0.0010668,-0.00021821,-0.99894,0.046061,-1.5541,0.23743,1.9891
